許可證字號,中文品名,英文品名,適應症,劑型,主成分略述,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001289號,本能適注射液160毫克/毫升,Bimzelx Solution for Injection 160 mg/ml,"１、斑塊性乾癬：治療適合接受全身性療法或光療法的中度至重度斑塊性乾癬成人病人。
２、乾癬性關節炎：適用於治療活動性乾癬性關節炎成人病人。
３、無放射影像確認之中軸性脊椎關節炎(Non-radiographic axial spondyloarthritis ,簡稱nr-axSpA)：適用於治療活動性無放射影像確認之中軸性脊椎關節炎且符合下 
       列所有條件之成人病人：
      (１)對非類固醇抗發炎藥物(NSAID)治療反應不佳或無法耐受。
      (２)其C反應蛋白(C-reactive protein，簡稱CRP)濃度升高。
      (３)核磁共振造影(MRI)檢查證據顯示有發炎的客觀跡象。
      (４)HLA-B27陽性。
４、僵直性脊椎炎(Ankylosing spondylitis,簡稱AS)：適用於治療對傳統療法反應不佳或耐受性不良的活動性僵直性脊椎炎成人病人。",注射液,Bimekizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001289號,本能適注射液160毫克/毫升,Bimzelx Solution for Injection 160 mg/ml,"１、斑塊性乾癬：治療適合接受全身性療法或光療法的中度至重度斑塊性乾癬成人病人。
２、乾癬性關節炎：適用於治療活動性乾癬性關節炎成人病人。
３、無放射影像確認之中軸性脊椎關節炎(Non-radiographic axial spondyloarthritis ,簡稱nr-axSpA)：適用於治療活動性無放射影像確認之中軸性脊椎關節炎且符合下 
       列所有條件之成人病人：
      (１)對非類固醇抗發炎藥物(NSAID)治療反應不佳或無法耐受。
      (２)其C反應蛋白(C-reactive protein，簡稱CRP)濃度升高。
      (３)核磁共振造影(MRI)檢查證據顯示有發炎的客觀跡象。
      (４)HLA-B27陽性。
４、僵直性脊椎炎(Ankylosing spondylitis,簡稱AS)：適用於治療對傳統療法反應不佳或耐受性不良的活動性僵直性脊椎炎成人病人。",注射液,Bimekizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001289號,本能適注射液160毫克/毫升,Bimzelx Solution for Injection 160 mg/ml,"１、斑塊性乾癬：治療適合接受全身性療法或光療法的中度至重度斑塊性乾癬成人病人。
２、乾癬性關節炎：適用於治療活動性乾癬性關節炎成人病人。
３、無放射影像確認之中軸性脊椎關節炎(Non-radiographic axial spondyloarthritis ,簡稱nr-axSpA)：適用於治療活動性無放射影像確認之中軸性脊椎關節炎且符合下 
       列所有條件之成人病人：
      (１)對非類固醇抗發炎藥物(NSAID)治療反應不佳或無法耐受。
      (２)其C反應蛋白(C-reactive protein，簡稱CRP)濃度升高。
      (３)核磁共振造影(MRI)檢查證據顯示有發炎的客觀跡象。
      (４)HLA-B27陽性。
４、僵直性脊椎炎(Ankylosing spondylitis,簡稱AS)：適用於治療對傳統療法反應不佳或耐受性不良的活動性僵直性脊椎炎成人病人。",注射液,Bimekizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001292號,全艾凝注射劑15毫克/1.5毫升,Alhemo 15mg/1.5mL solution for injection in pre-filled pen,"適用於出血事件之常規性預防於：
・12歲以上A型血友病(先天性第八凝血因子缺乏)病人並帶有第八凝血因子抗體。
・12歲以上B型血友病(先天性第九凝血因子缺乏)病人並帶有第九凝血因子抗體。
",注射液劑,Concizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001292號,全艾凝注射劑15毫克/1.5毫升,Alhemo 15mg/1.5mL solution for injection in pre-filled pen,"適用於出血事件之常規性預防於：
・12歲以上A型血友病(先天性第八凝血因子缺乏)病人並帶有第八凝血因子抗體。
・12歲以上B型血友病(先天性第九凝血因子缺乏)病人並帶有第九凝血因子抗體。
",注射液劑,Concizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001292號,全艾凝注射劑15毫克/1.5毫升,Alhemo 15mg/1.5mL solution for injection in pre-filled pen,"適用於出血事件之常規性預防於：
・12歲以上A型血友病(先天性第八凝血因子缺乏)病人並帶有第八凝血因子抗體。
・12歲以上B型血友病(先天性第九凝血因子缺乏)病人並帶有第九凝血因子抗體。
",注射液劑,Concizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001294號,適目達注射劑,TEPEZZA for injection,適用於治療甲狀腺眼病 (不限甲狀腺眼病的疾病活性或持續時間)。,凍晶注射劑,TEPROTUMUMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001294號,適目達注射劑,TEPEZZA for injection,適用於治療甲狀腺眼病 (不限甲狀腺眼病的疾病活性或持續時間)。,凍晶注射劑,TEPROTUMUMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001296號,諾骨盛注射液70毫克 / 毫升    ,Dnoclast Injection 70mg/ml,"1.	多發性骨髓瘤及實質腫瘤骨轉移:適用於實體腫瘤已有骨轉移及多發性骨髓瘤之成人病人，預防發生骨骼相關事件。
2.	骨巨細胞瘤:適用於治療其骨巨細胞瘤無法以手術切除或手術切除可能導致重症(severe morbidity)的成人和骨骼發育成熟之青少年病人。
3.	惡性高血鈣症:適用於治療雙磷酸鹽類藥物難治之頑固型惡性高血鈣症。",注射液劑,Denosumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001296號,諾骨盛注射液70毫克 / 毫升    ,Dnoclast Injection 70mg/ml,"1.	多發性骨髓瘤及實質腫瘤骨轉移:適用於實體腫瘤已有骨轉移及多發性骨髓瘤之成人病人，預防發生骨骼相關事件。
2.	骨巨細胞瘤:適用於治療其骨巨細胞瘤無法以手術切除或手術切除可能導致重症(severe morbidity)的成人和骨骼發育成熟之青少年病人。
3.	惡性高血鈣症:適用於治療雙磷酸鹽類藥物難治之頑固型惡性高血鈣症。",注射液劑,Denosumab,,,,,,,,,,,,,,,,,,,,,
