許可證字號,形狀,顏色
衛部藥輸字第028767號,顆粒劑、粉劑或散劑;;;顆粒劑、粉劑或散劑;;;顆粒劑、粉劑或散劑;;;顆粒劑、粉劑或散劑,;;;;;;;;;
衛部藥輸字第028769號,膠囊,橘;;;白
衛部藥輸字第028770號,膠囊,綠;;;白
衛部藥輸字第028783號,圓形,白
衛部藥輸字第028787號,圓形,白
衛部藥輸字第028788號,圓形,白
衛部藥輸字第028789號,圓形,白
衛部藥輸字第028790號,橢圓形,粉
衛部藥輸字第028796號,橢圓形,白
衛部藥輸字第028797號,圓形,白
衛部藥輸字第028806號,圓形,黃
衛部藥輸字第028807號,顆粒劑、粉劑或散劑,白
衛部藥輸字第028808號,橢圓形,白
衛部藥輸字第028815號,橢圓形,藍
衛部藥輸字第028816號,圓形,白
衛部藥輸字第028817號,橢圓形,白
衛部藥輸字第028820號,橢圓形,黃
衛部藥輸字第028821號,圓形,黃
衛部藥輸字第028825號,其他,
衛部藥輸字第028841號,圓形,黃
衛部藥輸字第028848號,四邊形,紅
衛部藥輸字第028850號,橢圓形,白
衛部藥輸字第028851號,橢圓形,白
衛部藥輸字第028852號,橢圓形,紅
衛部藥輸字第028853號,膠囊,橘
衛部藥輸字第028855號,橢圓形,紅
衛部藥輸字第028856號,圓形,白
衛部藥輸字第028857號,圓形,棕
衛部藥輸字第028858號,圓形,白
衛部藥輸字第028859號,四邊形,黃
衛部藥輸字第028860號,圓形,棕
衛部藥輸字第028861號,三角形,棕
衛部藥輸字第028862號,四邊形,棕
衛部藥輸字第028863號,圓形,白
衛部藥輸字第028865號,膠囊,白;;;白
衛部藥輸字第028867號,四邊形,白
衛部藥輸字第028868號,圓形,黃
衛部藥輸字第028869號,圓形,白
衛部藥輸字第028870號,圓形,棕
衛部藥輸字第028874號,橢圓形,粉
衛部藥輸字第028876號,橢圓形,粉
衛部藥輸字第028877號,圓形,橘
衛部藥輸字第028878號,圓形,黃
衛部藥輸字第028880號,圓形,白
衛部藥輸字第028881號,,;;;
衛部藥輸字第028883號,圓形,棕
衛部藥輸字第028886號,膠囊,黃;;;白
衛部藥輸字第028887號,膠囊,紅;;;白
衛部藥輸字第028888號,圓形,紅
衛部藥輸字第028889號,圓形,紅
衛部藥輸字第028891號,圓形,白;;;白
衛部藥輸字第028892號,圓形,白;;;白
衛部藥輸字第028896號,橢圓形,藍
衛部藥輸字第028898號,圓形,白;;;白
衛部藥輸字第028899號,四邊形,白;;;白
衛部藥輸字第028902號,圓形,白
衛部藥輸字第028912號,圓形,黃
衛部藥輸字第028917號,圓形,粉
衛部藥輸字第028918號,圓形,粉
衛部藥輸字第028919號,圓形,黃
衛部藥輸字第028921號,膠囊,白;;;棕
衛部藥輸字第028922號,其他,黃
衛部藥輸字第028930號,圓形,黃
衛部藥輸字第028931號,橢圓形,紅
衛部藥輸字第028932號,圓形,紅
衛部藥輸字第028933號,圓形,白
衛部藥輸字第028936號,圓形,黃
衛部藥輸字第028938號,橢圓形,綠
衛部藥輸字第028939號,其他,
衛部藥輸字第028944號,圓形,紅
衛部藥輸字第028945號,橢圓形,粉
衛部藥輸字第028947號,圓形,黃
衛部藥輸字第028948號,圓形,紅
衛部藥輸字第028959號,圓形,白
衛部藥輸字第028961號,液劑(包含糖漿用粉劑),透明
衛部藥輸字第028963號,圓形,黃
衛部藥輸字第028967號,圓形,黃
衛部藥輸字第028972號,其他,粉
衛署藥製字第021830號,圓形,白
衛署藥製字第021882號,膠囊,藍;;;灰
衛署藥製字第021886號,圓形,藍
衛署藥製字第021890號,圓形,白
衛署藥製字第021894號,圓形,棕
衛署藥製字第021923號,圓形,白
衛署藥製字第022043號,圓形,白
衛署藥製字第022069號,膠囊,綠;;;橘
衛署藥製字第022084號,圓形,綠
衛署藥製字第022100號,圓形,白
衛署藥製字第022105號,膠囊,綠;;;黃
衛署藥製字第022117號,四邊形,白
衛署藥製字第022122號,橢圓形,白
衛署藥製字第022123號,膠囊,綠;;;灰
衛署藥製字第022124號,圓形,黃
衛署藥製字第022141號,圓形,白
衛署藥製字第022150號,圓形,白
衛署藥製字第022190號,圓形,藍
衛署藥製字第022207號,圓形,黃
衛署藥製字第022209號,圓形,黃
衛署藥製字第022210號,圓形,白
衛署藥製字第022211號,圓形,藍
衛署藥製字第022219號,圓形,白
衛署藥製字第022223號,橢圓形,黃
衛署藥製字第022265號,圓形,白
衛署藥製字第022289號,膠囊,黃;;;黃
衛署藥製字第022296號,圓形,綠
衛署藥製字第022357號,圓形,白
衛署藥製字第022404號,圓形,白
衛署藥製字第022444號,圓形,白
衛署藥製字第022448號,橢圓形,白
衛署藥製字第022467號,圓形,黃
衛署藥製字第022534號,圓形,黃
衛署藥製字第022535號,圓形,藍
衛署藥製字第022554號,膠囊,綠;;;灰
衛署藥製字第022556號,圓形,黃
衛署藥製字第022557號,圓形,白
衛署藥製字第022559號,圓形,藍
衛署藥製字第022569號,圓形,綠
衛署藥製字第022572號,膠囊,綠;;;黃
衛署藥製字第022573號,膠囊,藍;;;白
衛署藥製字第022586號,膠囊,綠;;;灰
衛署藥製字第022630號,圓形,藍
衛署藥製字第022641號,圓形,粉
衛署藥製字第022656號,圓形,白
衛署藥製字第022658號,橢圓形,白
衛署藥製字第022674號,四邊形,黃
衛署藥製字第022685號,圓形,黃
衛署藥製字第022705號,顆粒劑、粉劑或散劑,黃
衛署藥製字第022722號,圓形,白
衛署藥製字第022726號,膠囊,藍;;;白
衛署藥製字第022746號,圓形,白
衛署藥製字第022747號,圓形,白
衛署藥製字第022801號,圓形,粉
衛署藥製字第022810號,圓形,白
衛署藥製字第022816號,圓形,藍
衛署藥製字第022819號,圓形,粉
衛署藥製字第022852號,圓形,白
衛署藥製字第022856號,圓形,紅
衛署藥製字第022876號,四邊形,白
衛署藥製字第022890號,圓形,白
衛署藥製字第022903號,圓形,綠
衛署藥製字第022908號,圓形,白
衛署藥製字第022964號,膠囊,藍;;;黃
衛署藥製字第022971號,膠囊,灰;;;白
衛署藥製字第022990號,,
衛署藥製字第022995號,圓形,藍
衛署藥製字第023008號,圓形,藍
衛署藥製字第023028號,圓形,白
衛署藥製字第023037號,圓形,粉
衛署藥製字第023041號,圓形,白
衛署藥製字第023102號,橢圓形,白
衛署藥製字第023121號,圓形,白
衛署藥製字第023135號,圓形,藍
衛署藥製字第023143號,圓形,黃
衛署藥製字第023169號,其他,白
衛署藥製字第023186號,圓形,粉
衛署藥製字第023218號,膠囊,黃;;;白
衛署藥製字第023220號,膠囊,紅;;;黃
衛署藥製字第023239號,膠囊,紅;;;黃
衛署藥製字第023264號,膠囊,紅;;;黃
衛署藥製字第023297號,三角形,白
衛署藥製字第023308號,圓形,白
衛署藥製字第023318號,圓形,白
衛署藥製字第023319號,圓形,藍
衛署藥製字第023342號,圓形,白
衛署藥製字第023352號,圓形,白
衛署藥製字第023353號,圓形,白
衛署藥製字第023397號,圓形,白
衛署藥製字第023483號,圓形,藍
衛署藥製字第023490號,圓形,綠
衛署藥製字第023491號,橢圓形,綠
衛署藥製字第023508號,橢圓形,白
衛署藥製字第023521號,圓形,白
衛署藥製字第023524號,圓形,白
衛署藥製字第023534號,圓形,黃
衛署藥製字第023589號,膠囊,綠;;;白
衛署藥製字第023592號,圓形,綠
衛署藥製字第023616號,圓形,白
衛署藥製字第023635號,膠囊,紅;;;黃
衛署藥製字第023644號,五邊形,黃
衛署藥製字第023645號,圓形,白
衛署藥製字第023648號,膠囊,藍;;;棕
衛署藥製字第023652號,膠囊,粉;;;白
衛署藥製字第023654號,膠囊,棕;;;綠
衛署藥製字第023683號,圓形,黃
衛署藥製字第023686號,圓形,白
衛署藥製字第023736號,膠囊,紅;;;藍
衛署藥製字第023743號,圓形,白
衛署藥製字第023756號,膠囊,綠;;;灰
衛署藥製字第023763號,圓形,白
衛署藥製字第023771號,橢圓形,黃
衛署藥製字第023773號,膠囊,紅;;;藍綠
衛署藥製字第023775號,膠囊,黃;;;黃
衛署藥製字第023789號,圓形,白
衛署藥製字第023793號,橢圓形,棕
衛署藥製字第023805號,圓形,白
衛署藥製字第023818號,膠囊,綠;;;棕
衛署藥製字第023820號,圓形,白
衛署藥製字第023822號,圓形,橘
衛署藥製字第023823號,圓形,棕
衛署藥製字第023825號,圓形,藍
衛署藥製字第023845號,圓形,綠
衛署藥製字第023846號,圓形,白
衛署藥製字第023850號,圓形,白
衛署藥製字第023857號,圓形,黃
衛署藥製字第023879號,圓形,白
衛署藥製字第023901號,膠囊,紅;;;藍綠
衛署藥製字第023908號,圓形,橘
衛署藥製字第023996號,膠囊,紅;;;藍
衛署藥製字第024004號,圓形,白
衛署藥製字第024010號,橢圓形,橘
衛署藥製字第024016號,顆粒劑、粉劑或散劑,橘
衛署藥製字第024017號,圓形,綠
衛署藥製字第024018號,膠囊,紅;;;紅
衛署藥製字第024020號,膠囊,紅;;;藍
衛署藥製字第024053號,圓形,紅
衛署藥製字第024055號,圓形,白
衛署藥製字第024076號,圓形,黃
衛署藥製字第024079號,圓形,綠
衛署藥製字第024084號,圓形,粉
衛署藥製字第024098號,圓形,粉
衛署藥製字第024103號,圓形,橘
衛署藥製字第024104號,圓形,粉
衛署藥製字第024127號,圓形,橘
衛署藥製字第024132號,膠囊,橘;;;白
衛署藥製字第024155號,圓形,白
衛署藥製字第024175號,圓形,白
衛署藥製字第024196號,圓形,黃
衛署藥製字第024197號,橢圓形,橘
衛署藥製字第024236號,圓形,藍
衛署藥製字第024239號,圓形,棕
衛署藥製字第024280號,圓形,白
衛署藥製字第024282號,膠囊,橘;;;黃
衛署藥製字第024309號,圓形,粉
衛署藥製字第024310號,圓形,紅
衛署藥製字第024317號,圓形,黃
衛署藥製字第024318號,圓形,黃
衛署藥製字第024330號,膠囊,紅;;;藍
衛署藥製字第024335號,五邊形,白
衛署藥製字第024374號,膠囊;;;膠囊,橘;;;黃;;;橘;;;黃
衛署藥製字第024375號,圓形,白
衛署藥製字第024440號,膠囊,綠;;;綠
衛署藥製字第024463號,圓形,藍
衛署藥製字第024465號,圓形,黃
衛署藥製字第024474號,圓形,白
衛署藥製字第024488號,圓形,白
衛署藥製字第024493號,五邊形,粉
衛署藥製字第024494號,圓形,白
衛署藥製字第024588號,圓形,白
衛署藥製字第024609號,圓形,黃
衛署藥製字第024613號,液劑(包含糖漿用粉劑),白
衛署藥製字第033895號,圓形,橘
衛署藥製字第033896號,圓形,綠
衛署藥製字第033901號,橢圓形,白
衛署藥製字第033902號,膠囊,紅;;;透明
衛署藥製字第033929號,圓形,黃
衛署藥製字第033939號,圓形,白
衛署藥製字第033947號,圓形,白
衛署藥製字第033950號,圓形,黃
衛署藥製字第033959號,橢圓形,藍
衛署藥製字第033960號,膠囊,紅;;;紫
衛署藥製字第033961號,橢圓形,橘
衛署藥製字第033962號,膠囊,橘;;;灰
衛署藥製字第033971號,圓形,藍
衛署藥製字第033998號,液劑(包含糖漿用粉劑),黃
衛署藥製字第034002號,橢圓形,粉
衛署藥製字第034012號,圓形,粉
衛署藥製字第034013號,液劑(包含糖漿用粉劑),白
衛署藥製字第034014號,橢圓形,粉
衛署藥製字第034017號,圓形,黃
衛署藥製字第034018號,圓形,黃
衛署藥製字第034079號,圓形,白
衛署藥製字第034088號,圓形,黃
衛署藥製字第034096號,圓形,白
衛署藥製字第034098號,圓形,白
衛署藥製字第034103號,膠囊,紅;;;紅
衛署藥製字第034105號,圓形,粉
衛署藥製字第034110號,圓形,白
衛署藥製字第034112號,膠囊,綠;;;灰
衛署藥製字第034120號,圓形,白
衛署藥製字第034144號,三角形,粉
衛署藥製字第034157號,橢圓形,粉
衛署藥製字第034171號,膠囊,白;;;白
衛署藥製字第034222號,液劑(包含糖漿用粉劑),紅
衛署藥製字第034223號,液劑(包含糖漿用粉劑),黃
衛署藥製字第034239號,圓形,橘
衛署藥製字第034240號,圓形,白
衛署藥製字第034244號,圓形,白
衛署藥製字第034245號,圓形,黃
衛署藥製字第034272號,圓形,白
衛署藥製字第034283號,橢圓形,黃
衛署藥製字第034285號,橢圓形,藍
衛署藥製字第034300號,圓形,白
衛署藥製字第034305號,液劑(包含糖漿用粉劑),棕
衛署藥製字第034323號,圓形,綠
衛署藥製字第034326號,圓形,白
衛署藥製字第034348號,圓形,白
衛署藥製字第034358號,膠囊,紅;;;白
衛署藥製字第034359號,圓形,白
衛署藥製字第034366號,圓形,藍
衛署藥製字第034373號,圓形,白
衛署藥製字第034504號,圓形,綠
衛署藥製字第034534號,圓形,粉
衛署藥製字第034535號,膠囊,棕;;;粉
衛署藥製字第034537號,圓形,黃
衛署藥製字第034541號,圓形,白
衛署藥製字第034542號,圓形,黃
衛署藥製字第034551號,圓形,黃
衛署藥製字第034553號,圓形,黃
衛署藥製字第034556號,膠囊,黃;;;白
衛署藥製字第034557號,圓形,黃
衛署藥製字第034558號,圓形,黃
衛署藥製字第034559號,橢圓形,白
衛署藥製字第034583號,圓形,藍
衛署藥製字第034584號,圓形,紅
衛署藥製字第034608號,圓形,粉
衛署藥製字第034621號,四邊形,白
衛署藥製字第034634號,圓形,白
衛署藥製字第034635號,圓形,黃
衛署藥製字第034637號,圓形,白
衛署藥製字第034654號,液劑(包含糖漿用粉劑),黃
衛署藥製字第034670號,圓形,黃
衛署藥製字第034727號,圓形,藍
衛署藥製字第034736號,圓形,橘
衛署藥製字第034799號,橢圓形,粉
衛署藥製字第034802號,膠囊,黑;;;黃
衛署藥製字第034804號,四邊形,橘
衛署藥製字第034805號,圓形,白
衛署藥製字第034806號,圓形,藍
衛署藥製字第034807號,膠囊,紅;;;紅
衛署藥製字第034811號,膠囊,綠;;;灰
衛署藥製字第034818號,膠囊,紅;;;透明
衛署藥製字第034819號,橢圓形,黃
衛署藥製字第034824號,圓形,白
衛署藥製字第034827號,圓形,白
衛署藥製字第034828號,膠囊,紅;;;橘
衛署藥製字第034854號,膠囊,粉;;;白
衛署藥製字第034859號,膠囊,紅;;;白
衛署藥製字第034862號,圓形,白
衛署藥製字第034885號,膠囊,棕;;;黃
衛署藥製字第034886號,圓形,粉;;;白
衛署藥製字第034893號,圓形,藍
衛署藥製字第034895號,圓形,粉;;;白
衛署藥製字第034900號,膠囊,綠;;;綠
衛署藥製字第034924號,圓形,黃
衛署藥製字第034927號,圓形,白;;;白
衛署藥製字第034945號,圓形,紅
衛署藥製字第034950號,圓形,粉
衛署藥製字第034952號,圓形,白
衛署藥製字第034979號,橢圓形,白
衛署藥製字第034986號,圓形,白
衛署藥製字第035009號,圓形,黃
衛署藥製字第035036號,液劑(包含糖漿用粉劑),棕
衛署藥製字第035042號,圓形,橘
衛署藥製字第035060號,圓形,白
衛署藥製字第035114號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),棕;;;棕
衛署藥製字第035129號,四邊形,粉
衛署藥製字第035173號,液劑(包含糖漿用粉劑),棕
衛署藥製字第035179號,橢圓形,白
衛署藥製字第035194號,圓形,白
衛署藥製字第035212號,圓形,白
衛署藥製字第035213號,圓形,綠
衛署藥製字第035254號,,
衛署藥製字第035256號,膠囊,白;;;白
衛署藥製字第035285號,橢圓形,白
衛署藥製字第035297號,膠囊,橘;;;黃
衛署藥製字第035355號,圓形,黃
衛署藥製字第035365號,圓形,白
衛署藥製字第035366號,液劑(包含糖漿用粉劑),透明
衛署藥製字第035367號,圓形,白
衛署藥製字第035370號,橢圓形,粉
衛署藥製字第035399號,四邊形,橘
衛署藥製字第035410號,圓形,黃
衛署藥製字第035411號,四邊形,綠
衛署藥製字第035418號,膠囊,藍;;;藍
衛署藥製字第035424號,顆粒劑、粉劑或散劑,藍
衛署藥製字第035445號,圓形,橘
衛署藥製字第035452號,膠囊,綠;;;灰
衛署藥製字第035461號,圓形,粉
衛署藥製字第035467號,圓形,藍
衛署藥製字第035477號,圓形,綠
衛署藥製字第035506號,橢圓形,紅
衛署藥製字第035515號,圓形,黃
衛署藥製字第035649號,橢圓形,橘
衛署藥製字第035665號,圓形,白
衛署藥製字第035672號,圓形,白
衛署藥製字第035675號,顆粒劑、粉劑或散劑,棕;;;黃
衛署藥製字第035678號,圓形,白
衛署藥製字第035691號,圓形,藍
衛署藥製字第035692號,膠囊,藍;;;透明
衛署藥製字第035702號,圓形,黃
衛署藥製字第035705號,橢圓形,黃
衛署藥製字第035795號,圓形,白
衛署藥製字第035814號,其他,白
衛署藥製字第035836號,四邊形,白
衛署藥製字第035843號,圓形,黃
衛署藥製字第035844號,膠囊,粉;;;白
衛署藥製字第035878號,膠囊,綠;;;白
衛署藥製字第035981號,圓形,白
衛署藥製字第035983號,膠囊,紅;;;白
衛署藥製字第035986號,圓形,白
衛署藥製字第035996號,圓形,白
衛署藥製字第036004號,四邊形,白
衛署藥製字第036008號,圓形,橘
衛署藥製字第036069號,橢圓形,橘
衛署藥製字第036072號,膠囊,藍;;;粉
衛署藥製字第036082號,膠囊,藍;;;白
衛署藥製字第036099號,圓形,黃
衛署藥製字第036132號,膠囊,橘;;;黃
衛署藥製字第036151號,圓形,白
衛署藥製字第036159號,顆粒劑、粉劑或散劑,粉
衛署藥製字第036162號,膠囊,棕;;;棕
衛署藥製字第036168號,圓形,黃
衛署藥製字第036178號,膠囊,紅;;;藍綠
衛署藥製字第036184號,圓形,白
衛署藥製字第043081號,膠囊,橘;;;黃
衛署藥製字第043114號,橢圓形,白
衛署藥製字第043118號,圓形,綠
衛署藥製字第043122號,液劑(包含糖漿用粉劑),透明
衛署藥製字第043127號,橢圓形,橘
衛署藥製字第043141號,圓形,白
衛署藥製字第043158號,橢圓形,白
衛署藥製字第043176號,圓形,白
衛署藥製字第043178號,圓形,綠
衛署藥製字第043187號,圓形,棕
衛署藥製字第043188號,圓形,橘
衛署藥製字第043190號,膠囊,紅;;;紅
衛署藥製字第043205號,圓形,白
衛署藥製字第043210號,圓形,棕
衛署藥製字第043213號,圓形,白
衛署藥製字第043218號,橢圓形,橘;;;黃
衛署藥製字第043222號,八邊形,白
衛署藥製字第043255號,,
衛署藥製字第043256號,橢圓形,白
衛署藥製字第043257號,圓形,白
衛署藥製字第043262號,膠囊,紅;;;白
衛署藥製字第043264號,膠囊,綠;;;黃
衛署藥製字第043265號,圓形,白
衛署藥製字第043290號,圓形,粉
衛署藥製字第043294號,圓形,橘
衛署藥製字第043298號,膠囊,綠;;;白
衛署藥製字第043306號,橢圓形,白
衛署藥製字第043314號,橢圓形,黃
衛署藥製字第043316號,膠囊,灰;;;藍
衛署藥製字第043317號,圓形,橘
衛署藥製字第043326號,膠囊,灰;;;藍綠
衛署藥製字第043330號,圓形,粉
衛署藥製字第043335號,圓形,白
衛署藥製字第043364號,圓形,白
衛署藥製字第043366號,圓形,白
衛署藥製字第043403號,橢圓形,白
衛署藥製字第043408號,膠囊,紅;;;白
衛署藥製字第043431號,圓形,橘
衛署藥製字第043432號,圓形,白
衛署藥製字第043437號,圓形,白
衛署藥製字第043445號,膠囊,棕;;;粉
衛署藥製字第043458號,橢圓形,黃
衛署藥製字第043460號,橢圓形,白
衛署藥製字第043461號,顆粒劑、粉劑或散劑,棕
衛署藥製字第043474號,圓形,白
衛署藥製字第043488號,圓形,白
衛署藥製字第043494號,圓形,白
衛署藥製字第043499號,圓形,白
衛署藥製字第043501號,橢圓形,白
衛署藥製字第043523號,膠囊,綠;;;黃
衛署藥製字第043527號,膠囊,綠;;;黃
衛署藥製字第043587號,膠囊,綠;;;綠
衛署藥製字第043597號,膠囊,綠;;;黃
衛署藥製字第043598號,圓形,白
衛署藥製字第043604號,液劑(包含糖漿用粉劑),白
衛署藥製字第043622號,圓形,白
衛署藥製字第043624號,橢圓形,橘
衛署藥製字第043625號,圓形,橘
衛署藥製字第043632號,膠囊,紅;;;橘
衛署藥製字第043633號,圓形,白
衛署藥製字第043634號,圓形,粉
衛署藥製字第043637號,圓形,白
衛署藥製字第043641號,圓形,白
衛署藥製字第043657號,圓形,橘
衛署藥製字第043664號,膠囊,橘;;;透明
衛署藥製字第043682號,圓形,白
衛署藥製字第043687號,圓形,橘
衛署藥製字第043688號,膠囊,粉;;;白
衛署藥製字第043695號,橢圓形,白
衛署藥製字第043698號,膠囊,白;;;白
衛署藥製字第043700號,圓形,白
衛署藥製字第043704號,圓形,白
衛署藥製字第043736號,四邊形,橘
衛署藥製字第043749號,圓形,黃
衛署藥製字第043759號,圓形,白
衛署藥製字第043761號,橢圓形,粉
衛署藥製字第043770號,圓形,白
衛署藥製字第043791號,圓形,白
衛署藥製字第043792號,顆粒劑、粉劑或散劑,黃
衛署藥製字第043802號,膠囊,藍;;;藍
衛署藥製字第043818號,四邊形,白
衛署藥製字第043823號,橢圓形,橘
衛署藥製字第043837號,圓形,粉
衛署藥製字第043842號,膠囊,粉;;;粉
衛署藥製字第043844號,圓形,橘
衛署藥製字第043848號,膠囊,紫;;;藍
衛署藥製字第043851號,膠囊,藍;;;黃
衛署藥製字第043852號,圓形,白
衛署藥製字第043860號,圓形,白
衛署藥製字第043862號,圓形,粉
衛署藥製字第043867號,膠囊,灰;;;藍
衛署藥製字第043888號,圓形,白
衛署藥製字第043892號,橢圓形,黃
衛署藥製字第043896號,圓形,橘
衛署藥製字第043898號,膠囊,藍;;;藍
衛署藥製字第043923號,膠囊,紫;;;透明
衛署藥製字第043928號,膠囊,藍;;;橘
衛署藥製字第043929號,橢圓形,黃
衛署藥製字第043931號,圓形,粉
衛署藥製字第043932號,圓形,白
衛署藥製字第043935號,圓形,白
衛署藥製字第043937號,膠囊,綠;;;白
衛署藥製字第043939號,圓形,白
衛署藥製字第043941號,膠囊,橘;;;黃
衛署藥製字第043943號,液劑(包含糖漿用粉劑),透明
衛署藥製字第043948號,圓形,橘
衛署藥製字第043949號,膠囊,紅;;;黃
衛署藥製字第043950號,圓形,白
衛署藥製字第043951號,圓形,白
衛署藥製字第043953號,圓形,黃
衛署藥製字第043967號,,
衛署藥製字第043970號,圓形,橘
衛署藥製字第043990號,五邊形,白
衛署藥製字第043991號,膠囊,紅;;;紫
衛署藥製字第043992號,膠囊,藍;;;橘
衛署藥製字第044011號,圓形,白
衛署藥製字第044014號,圓形,白
衛署藥製字第044015號,橢圓形,白
衛署藥製字第044024號,膠囊,橘;;;黃
衛署藥製字第044029號,圓形,白
衛署藥製字第044031號,圓形,白
衛署藥製字第044038號,膠囊,黃;;;白
衛署藥製字第044041號,三角形,粉
衛署藥製字第044042號,膠囊;;;膠囊,藍;;;白;;;黃;;;黃
衛署藥製字第044045號,膠囊,藍;;;白
衛署藥製字第044046號,液劑(包含糖漿用粉劑),黃
衛署藥製字第044061號,膠囊,棕;;;棕
衛署藥製字第044067號,四邊形,粉
衛署藥製字第044072號,膠囊,紫;;;白
衛署藥製字第044078號,六邊形,粉
衛署藥製字第044080號,,
衛署藥製字第044086號,圓形,白
衛署藥製字第044087號,圓形,綠
衛署藥製字第044094號,膠囊,白;;;白
衛署藥製字第044095號,圓形,粉
衛署藥製字第044097號,膠囊,白;;;白
衛署藥製字第044113號,圓形,黃
衛署藥製字第044114號,圓形,白
衛署藥製字第044122號,其他,粉
衛署藥製字第044123號,液劑(包含糖漿用粉劑),白
衛署藥製字第044124號,圓形,白
衛署藥製字第044130號,液劑(包含糖漿用粉劑),透明
衛署藥製字第044131號,圓形,黃;;;白
衛署藥製字第044136號,圓形,白
衛署藥製字第044140號,四邊形,黃
衛署藥製字第044161號,圓形,黃
衛署藥製字第044165號,膠囊,白;;;白
衛署藥製字第044168號,圓形,黃
衛署藥製字第044174號,圓形,白
衛署藥製字第044198號,液劑(包含糖漿用粉劑),棕
衛署藥製字第044201號,圓形,黃
衛署藥製字第044203號,圓形,白
衛署藥製字第044210號,膠囊,紅;;;白
衛署藥製字第044213號,圓形,白
衛署藥製字第044223號,膠囊,橘;;;黃
衛署藥製字第044236號,四邊形,白
衛署藥製字第044244號,圓形,粉
衛署藥製字第044248號,圓形,黃
衛署藥製字第044250號,橢圓形,白
衛署藥製字第044253號,圓形,白
衛署藥製字第044254號,圓形,黃
衛署藥製字第044261號,膠囊,白;;;白
衛署藥製字第044262號,液劑(包含糖漿用粉劑),棕
衛署藥製字第044267號,膠囊,白;;;白
衛署藥製字第044270號,膠囊,紅;;;粉
衛署藥製字第044272號,圓形,白
衛署藥製字第044277號,圓形,白
衛署藥製字第044281號,圓形,白
衛署藥製字第044282號,膠囊,紅;;;透明
衛署藥製字第044283號,,
衛署藥製字第044284號,膠囊,紅;;;透明
衛部藥輸字第027503號,圓形,黃
衛部藥輸字第027505號,橢圓形,灰
衛部藥輸字第027514號,橢圓形,粉
衛部藥輸字第027547號,四邊形,粉
衛部藥輸字第027555號,橢圓形,黃
衛部藥輸字第027569號,圓形,藍
衛部藥輸字第027570號,四邊形,紫
衛部藥輸字第027584號,圓形,黃
衛部藥輸字第027592號,橢圓形,粉
衛部藥輸字第027596號,橢圓形,黃
衛部藥輸字第027613號,橢圓形,黃
衛部藥輸字第027614號,膠囊;;;膠囊,藍;;;白;;;藍;;;白
衛部藥輸字第027623號,橢圓形,粉;;;粉
衛部藥輸字第027640號,橢圓形,橘
衛部藥輸字第027641號,橢圓形,黃
衛部藥輸字第027642號,橢圓形,白
衛部藥輸字第027643號,橢圓形,橘
衛部藥輸字第027651號,水滴形,黃
衛部藥輸字第027652號,橢圓形,藍
衛部藥輸字第027667號,橢圓形,橘
衛部藥輸字第027691號,圓形,粉
衛部藥輸字第027716號,橢圓形,黃
衛部藥輸字第027717號,橢圓形,綠
衛部藥輸字第027730號,圓形,白
衛部藥輸字第027731號,橢圓形,白
衛部藥輸字第027732號,橢圓形,白
衛部藥輸字第027739號,橢圓形,黃
衛部藥輸字第027746號,液劑(包含糖漿用粉劑),棕
衛部藥輸字第027748號,膠囊,白;;;白
衛部藥輸字第027750號,圓形,黃;;;黃
衛部藥輸字第027752號,膠囊,黃
衛部藥輸字第027766號,橢圓形,白
衛部藥輸字第027769號,圓形,藍
衛部藥輸字第027770號,圓形,藍
衛部藥輸字第027771號,圓形,藍
衛部藥輸字第027781號,圓形,粉
衛部藥輸字第027782號,圓形,黃
衛部藥輸字第027792號,圓形,白
衛部藥輸字第027795號,膠囊,白;;;紅
衛部藥輸字第027796號,顆粒劑、粉劑或散劑,白
衛部藥輸字第027800號,圓形,白
衛部藥輸字第027801號,膠囊,黃;;;白
衛部藥輸字第027811號,橢圓形,白
衛部藥輸字第027823號,圓形,橘
衛部藥輸字第027824號,圓形,橘
衛部藥輸字第027827號,橢圓形,橘
衛部藥輸字第027829號,水滴形,藍
衛部藥輸字第027843號,橢圓形,藍
衛部藥輸字第027856號,圓形,黃
衛部藥輸字第027860號,橢圓形,白
衛部藥輸字第027865號,膠囊,橘;;;橘
衛部藥輸字第027890號,圓形,黃
衛部藥輸字第027894號,膠囊,黃;;;灰
衛部藥輸字第027901號,橢圓形,紅
衛部藥輸字第027902號,橢圓形,紫
衛部藥輸字第027912號,圓形,黃
衛部藥輸字第027913號,圓形,橘
衛部藥輸字第027914號,圓形,棕
衛部藥輸字第027915號,四邊形,棕
衛部藥輸字第027917號,圓形,白
衛部藥輸字第027923號,膠囊,棕
衛部藥輸字第027924號,顆粒劑、粉劑或散劑,白
衛部藥輸字第027926號,顆粒劑、粉劑或散劑,橘
衛部藥輸字第027936號,橢圓形,白;;;白
衛部藥輸字第027952號,膠囊,藍;;;藍
衛部藥輸字第027960號,膠囊,棕;;;棕
衛部藥輸字第027969號,四邊形,橘
衛部藥輸字第027985號,其他,藍;;;藍
衛部藥輸字第027993號,圓形,黃
衛部藥輸字第027994號,圓形,粉
衛部藥輸字第027995號,橢圓形,粉
衛部藥輸字第027996號,橢圓形,橘
衛部藥輸字第028004號,圓形,黃
衛部藥輸字第028010號,橢圓形,黃
衛部藥輸字第028020號,圓形,白
衛部藥輸字第028023號,圓形,白
