許可證字號,形狀,顏色
衛署藥製字第024885號,圓形,白
衛署藥製字第024889號,液劑(包含糖漿用粉劑),棕
衛署藥製字第024894號,圓形,白
衛署藥製字第024944號,圓形,粉
衛署藥製字第024957號,圓形,綠
衛署藥製字第024958號,圓形,黃
衛署藥製字第024964號,圓形,白
衛署藥製字第024974號,圓形,白
衛署藥製字第024995號,圓形,白
衛署藥製字第025008號,膠囊,紅;;;白
衛署藥製字第025025號,圓形,黃
衛署藥製字第025058號,圓形,白
衛署藥製字第025079號,膠囊,黑;;;黃
衛署藥製字第025081號,圓形,藍
衛署藥製字第025083號,膠囊,藍;;;白
衛署藥製字第025089號,四邊形,粉
衛署藥製字第025095號,圓形,藍
衛署藥製字第025096號,圓形,白
衛署藥製字第025118號,圓形,白
衛署藥製字第025159號,圓形,白
衛署藥製字第025167號,膠囊,綠;;;黃
衛署藥製字第025191號,圓形,粉
衛署藥製字第025195號,圓形,白
衛署藥製字第025196號,圓形,白
衛署藥製字第025202號,膠囊,黑;;;黃
衛署藥製字第025209號,膠囊,紅;;;黃
衛署藥製字第025223號,橢圓形,黃
衛署藥製字第025230號,膠囊,白;;;白
衛署藥製字第025231號,膠囊,紅;;;白
衛署藥製字第025243號,圓形,白
衛署藥製字第025254號,圓形,白
衛署藥製字第025275號,膠囊,紅;;;白
衛署藥製字第025279號,四邊形,白
衛署藥製字第025301號,膠囊,橘;;;橘
衛署藥製字第025304號,圓形,白
衛署藥製字第025314號,膠囊,藍;;;白
衛署藥製字第025316號,膠囊,橘;;;黃
衛署藥製字第025349號,膠囊,藍;;;白
衛署藥製字第025363號,圓形,橘
衛署藥製字第025365號,圓形,粉
衛署藥製字第025370號,顆粒劑、粉劑或散劑,白
衛署藥製字第025377號,圓形,白
衛署藥製字第025388號,膠囊,藍;;;白
衛署藥製字第025396號,橢圓形,黃
衛署藥製字第025419號,圓形,白
衛署藥製字第025447號,圓形,橘
衛署藥製字第025450號,圓形,粉
衛署藥製字第025460號,橢圓形,橘;;;黃
衛署藥製字第025466號,橢圓形,橘
衛署藥製字第025467號,圓形,白
衛署藥製字第025514號,液劑(包含糖漿用粉劑),橘
衛署藥製字第025517號,四邊形,白
衛署藥製字第025520號,圓形,黃
衛署藥製字第025524號,圓形,橘
衛署藥製字第025525號,圓形,棕
衛署藥製字第025547號,圓形,白
衛署藥製字第025548號,圓形,白
衛署藥製字第025555號,圓形,白
衛署藥製字第025581號,膠囊,紫;;;藍綠
衛署藥製字第025587號,圓形,黃
衛署藥製字第025590號,圓形,黃
衛署藥製字第025601號,圓形,白
衛署藥製字第025613號,膠囊,紅;;;透明
衛署藥製字第025617號,膠囊,橘;;;橘
衛署藥製字第025623號,圓形,白
衛署藥製字第025629號,圓形,白
衛署藥製字第025644號,圓形,黃
衛署藥製字第025649號,圓形;;;圓形,黃;;;白
衛署藥製字第025659號,膠囊,橘;;;橘
衛署藥製字第025692號,膠囊,紅;;;白
衛署藥製字第025698號,膠囊,黑;;;紅
衛署藥製字第025714號,圓形,白
衛署藥製字第025715號,圓形,白
衛署藥製字第025716號,膠囊,橘;;;黃
衛署藥製字第025754號,膠囊,紅;;;綠
衛署藥製字第025784號,液劑(包含糖漿用粉劑),棕
衛署藥製字第025789號,膠囊,紅;;;白
衛署藥製字第025817號,膠囊,紅;;;藍
衛署藥製字第025828號,膠囊,紅;;;藍
衛署藥製字第025834號,膠囊,黃;;;白
衛署藥製字第025835號,圓形,藍
衛署藥製字第025837號,五邊形,橘
衛署藥製字第025840號,圓形,橘
衛署藥製字第025841號,圓形,黃
衛署藥製字第025842號,圓形,白
衛署藥製字第025856號,圓形,白
衛署藥製字第025866號,膠囊,紅;;;黃
衛署藥製字第025870號,圓形,白
衛署藥製字第025882號,圓形,黃
衛署藥製字第025898號,圓形,黃
衛署藥製字第025905號,圓形,綠
衛署藥製字第025925號,圓形,白
衛署藥製字第025939號,膠囊,綠;;;黃
衛署藥製字第025941號,圓形,藍
衛署藥製字第025965號,橢圓形,綠
衛署藥製字第025993號,圓形,橘
衛署藥製字第026007號,圓形,橘
衛署藥製字第026010號,膠囊,紅;;;透明
衛署藥製字第026026號,膠囊,紅;;;黃
衛署藥製字第026033號,圓形,白
衛署藥製字第026056號,橢圓形;;;橢圓形,白;;;黃
衛署藥製字第026061號,圓形,橘
衛署藥製字第026073號,圓形,白
